Name,Rank,Year,Rating
The Shawshank Redemption,1,1994,9.2
The Godfather,2,1972,9.2
The Dark Knight,3,2008,9.0
The Godfather Part II,4,1974,9.0
12 Angry Men,5,1957,9.0
Schindler's List,6,1993,8.9
The Lord of the Rings: The Return of the King,7,2003,8.9
Pulp Fiction,8,1994,8.8
The Lord of the Rings: The Fellowship of the Ring,9,2001,8.8
"The Good, the Bad and the Ugly",10,1966,8.8
Forrest Gump,11,1994,8.8
Fight Club,12,1999,8.7
The Lord of the Rings: The Two Towers,13,2002,8.7
Inception,14,2010,8.7
Star Wars: Episode V - The Empire Strikes Back,15,1980,8.7
The Matrix,16,1999,8.7
Goodfellas,17,1990,8.7
One Flew Over the Cuckoo's Nest,18,1975,8.6
Se7en,19,1995,8.6
It's a Wonderful Life,20,1946,8.6
Seven Samurai,21,1954,8.6
The Silence of the Lambs,22,1991,8.6
Saving Private Ryan,23,1998,8.6
City of God,24,2002,8.6
Interstellar,25,2014,8.6
Life Is Beautiful,26,1997,8.6
The Green Mile,27,1999,8.6
Star Wars,28,1977,8.5
Terminator 2: Judgment Day,29,1991,8.5
Back to the Future,30,1985,8.5
Spirited Away,31,2001,8.5
The Pianist,32,2002,8.5
Psycho,33,1960,8.5
Parasite,34,2019,8.5
Léon: The Professional,35,1994,8.5
The Lion King,36,1994,8.5
Gladiator,37,2000,8.5
American History X,38,1998,8.5
The Departed,39,2006,8.5
Whiplash,40,2014,8.5
The Prestige,41,2006,8.5
The Usual Suspects,42,1995,8.5
Casablanca,43,1942,8.5
Grave of the Fireflies,44,1988,8.5
Harakiri,45,1962,8.5
The Intouchables,46,2011,8.5
Modern Times,47,1936,8.4
Once Upon a Time in the West,48,1968,8.4
Cinema Paradiso,49,1988,8.4
Rear Window,50,1954,8.4
Alien,51,1979,8.4
City Lights,52,1931,8.4
Apocalypse Now,53,1979,8.4
Memento,54,2000,8.4
Django Unchained,55,2012,8.4
Raiders of the Lost Ark,56,1981,8.4
WALL·E,57,2008,8.4
The Lives of Others,58,2006,8.4
Sunset Blvd.,59,1950,8.4
Paths of Glory,60,1957,8.4
The Shining,61,1980,8.4
The Great Dictator,62,1940,8.4
Avengers: Infinity War,63,2018,8.4
Witness for the Prosecution,64,1957,8.4
Aliens,65,1986,8.3
Spider-Man: Into the Spider-Verse,66,2018,8.3
American Beauty,67,1999,8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,68,1964,8.3
The Dark Knight Rises,69,2012,8.3
Oldboy,70,2003,8.3
Inglourious Basterds,71,2009,8.3
Amadeus,72,1984,8.3
Coco,73,2017,8.3
Toy Story,74,1995,8.3
Braveheart,75,1995,8.3
Joker,76,2019,8.3
Das Boot,77,1981,8.3
Avengers: Endgame,78,2019,8.3
Princess Mononoke,79,1997,8.3
Once Upon a Time in America,80,1984,8.3
Good Will Hunting,81,1997,8.3
Your Name.,82,2016,8.3
Singin' in the Rain,83,1952,8.3
3 Idiots,84,2009,8.3
Requiem for a Dream,85,2000,8.3
High and Low,86,1963,8.3
Toy Story 3,87,2010,8.3
Capernaum,88,2018,8.3
Star Wars: Episode VI - Return of the Jedi,89,1983,8.3
2001: A Space Odyssey,90,1968,8.3
Eternal Sunshine of the Spotless Mind,91,2004,8.3
Come and See,92,1985,8.3
Reservoir Dogs,93,1992,8.3
The Hunt,94,2012,8.3
Citizen Kane,95,1941,8.2
Lawrence of Arabia,96,1962,8.2
M,97,1931,8.2
Ikiru,98,1952,8.2
North by Northwest,99,1959,8.2
Vertigo,100,1958,8.2
The Apartment,101,1960,8.2
Amélie,102,2001,8.2
Double Indemnity,103,1944,8.2
A Clockwork Orange,104,1971,8.2
Full Metal Jacket,105,1987,8.2
Scarface,106,1983,8.2
Hamilton,107,2020,8.2
Incendies,108,2010,8.2
Heat,109,1995,8.2
To Kill a Mockingbird,110,1962,8.2
Up,111,2009,8.2
The Sting,112,1973,8.2
A Separation,113,2011,8.2
Metropolis,114,1927,8.2
L.A. Confidential,115,1997,8.2
Taxi Driver,116,1976,8.2
Die Hard,117,1988,8.2
Indiana Jones and the Last Crusade,118,1989,8.2
Snatch,119,2000,8.2
Bicycle Thieves,120,1948,8.2
Like Stars on Earth,121,2007,8.2
1917,122,2019,8.2
Top Gun: Maverick,123,2022,8.2
Downfall,124,2004,8.2
Dangal,125,2016,8.2
For a Few Dollars More,126,1965,8.2
Batman Begins,127,2005,8.2
The Kid,128,1921,8.2
Some Like It Hot,129,1959,8.2
The Father,130,2020,8.2
All About Eve,131,1950,8.2
The Wolf of Wall Street,132,2013,8.2
Green Book,133,2018,8.2
Judgment at Nuremberg,134,1961,8.2
Ran,135,1985,8.2
Casino,136,1995,8.2
The Truman Show,137,1998,8.2
There Will Be Blood,138,2007,8.2
Pan's Labyrinth,139,2006,8.2
Unforgiven,140,1992,8.2
The Sixth Sense,141,1999,8.2
Shutter Island,142,2010,8.2
A Beautiful Mind,143,2001,8.2
Jurassic Park,144,1993,8.2
Yojimbo,145,1961,8.1
The Treasure of the Sierra Madre,146,1948,8.1
Monty Python and the Holy Grail,147,1975,8.1
No Country for Old Men,148,2007,8.1
The Great Escape,149,1963,8.1
Kill Bill: Vol. 1,150,2003,8.1
Rashomon,151,1950,8.1
The Thing,152,1982,8.1
Spider-Man: No Way Home,153,2021,8.1
Finding Nemo,154,2003,8.1
The Elephant Man,155,1980,8.1
Chinatown,156,1974,8.1
Raging Bull,157,1980,8.1
V for Vendetta,158,2005,8.1
Gone with the Wind,159,1939,8.1
"Lock, Stock and Two Smoking Barrels",160,1998,8.1
Dial M for Murder,161,1954,8.1
Inside Out,162,2015,8.1
Howl's Moving Castle,163,2004,8.1
The Secret in Their Eyes,164,2009,8.1
"Three Billboards Outside Ebbing, Missouri",165,2017,8.1
Trainspotting,166,1996,8.1
The Bridge on the River Kwai,167,1957,8.1
Prisoners,168,2013,8.1
Fargo,169,1996,8.1
Warrior,170,2011,8.1
Gran Torino,171,2008,8.1
Catch Me If You Can,172,2002,8.1
My Neighbor Totoro,173,1988,8.1
Million Dollar Baby,174,2004,8.1
John Wick: Chapter 4,175,2023,8.1
Children of Heaven,176,1997,8.1
Blade Runner,177,1982,8.1
The Gold Rush,178,1925,8.1
Klaus,179,2019,8.1
Harry Potter and the Deathly Hallows: Part 2,180,2011,8.1
Before Sunrise,181,1995,8.1
12 Years a Slave,182,2013,8.1
Ben-Hur,183,1959,8.1
On the Waterfront,184,1954,8.1
The Grand Budapest Hotel,185,2014,8.1
Gone Girl,186,2014,8.1
Wild Strawberries,187,1957,8.1
The General,188,1926,8.1
Barry Lyndon,189,1975,8.1
In the Name of the Father,190,1993,8.1
The Deer Hunter,191,1978,8.1
The Third Man,192,1949,8.1
Hacksaw Ridge,193,2016,8.1
The Wages of Fear,194,1953,8.1
Memories of Murder,195,2003,8.1
Wild Tales,196,2014,8.1
Sherlock Jr.,197,1924,8.1
Mr. Smith Goes to Washington,198,1939,8.1
Mad Max: Fury Road,199,2015,8.1
Mary and Max,200,2009,8.1
The Seventh Seal,201,1957,8.1
How to Train Your Dragon,202,2010,8.1
"Monsters, Inc.",203,2001,8.1
Dead Poets Society,204,1989,8.1
Jaws,205,1975,8.1
Room,206,2015,8.1
The Big Lebowski,207,1998,8.1
Tokyo Story,208,1953,8.1
The Passion of Joan of Arc,209,1928,8.1
Ford v Ferrari,210,2019,8.1
Hotel Rwanda,211,2004,8.0
Rocky,212,1976,8.0
Platoon,213,1986,8.0
Ratatouille,214,2007,8.0
Spotlight,215,2015,8.0
Logan,216,2017,8.0
The Terminator,217,1984,8.0
Stand by Me,218,1986,8.0
Rush,219,2013,8.0
Network,220,1976,8.0
Before Sunset,221,2004,8.0
Into the Wild,222,2007,8.0
The Wizard of Oz,223,1939,8.0
The Best Years of Our Lives,224,1946,8.0
The Exorcist,225,1973,8.0
Groundhog Day,226,1993,8.0
The Incredibles,227,2004,8.0
To Be or Not to Be,228,1942,8.0
La haine,229,1995,8.0
Pirates of the Caribbean: The Curse of the Black Pearl,230,2003,8.0
Pather Panchali,231,1955,8.0
The Battle of Algiers,232,1966,8.0
Hachi: A Dog's Tale,233,2009,8.0
The Grapes of Wrath,234,1940,8.0
Jai Bhim,235,2021,8.0
My Father and My Son,236,2005,8.0
Amores Perros,237,2000,8.0
Rebecca,238,1940,8.0
The Handmaiden,239,2016,8.0
Cool Hand Luke,240,1967,8.0
The Sound of Music,241,1965,8.0
The 400 Blows,242,1959,8.0
It Happened One Night,243,1934,8.0
Persona,244,1966,8.0
Life of Brian,245,1979,8.0
The Iron Giant,246,1999,8.0
The Help,247,2011,8.0
Aladdin,248,1992,8.0
Dersu Uzala,249,1975,8.0
Dances with Wolves,250,1990,8.0
